TARGET,HGNC ID,Approved Symbol,Approved Name,Status,Previous Symbols,Synonyms,Chromosome,Accession Numbers,RefSeq IDs,Gene Family Tag,Gene family description,Gene family ID
,4087,GABRG2,gamma-aminobutyric acid type A receptor gamma2 subunit,Approved,,,5q34,,,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4088,GABRG3,gamma-aminobutyric acid type A receptor gamma3 subunit,Approved,,,15q12,,,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4089,GABRP,gamma-aminobutyric acid type A receptor pi subunit,Approved,,,5q35.1,U95367,NM_014211,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,14454,GABRQ,gamma-aminobutyric acid type A receptor theta subunit,Approved,,THETA,Xq28,U47334,NM_018558,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4090,GABRR1,gamma-aminobutyric acid type A receptor rho1 subunit,Approved,,,6q15,,,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,4091,GABRR2,gamma-aminobutyric acid type A receptor rho2 subunit,Approved,,,6q15,,,GABR,Gamma-aminobutyric acid type A receptor subunits,563
,17969,GABRR3,gamma-aminobutyric acid type A receptor rho3 subunit (gene/pseudogene),Approved,,,3q11.2,Y18994,,GABR,Gamma-aminobutyric acid type A receptor subunits,563
GlyR,4326,GLRA1,glycine receptor alpha 1,Approved,STHE,,5q33.1,,,"GLRA, GLRB",Glycine receptors,868
,4327,GLRA2,glycine receptor alpha 2,Approved,GLR,,Xp22.2,,,"GLRA, GLRB",Glycine receptors,868
,4328,GLRA3,glycine receptor alpha 3,Approved,,,4q34.1,AF017724,,"GLRA, GLRB",Glycine receptors,868
,31715,GLRA4,glycine receptor alpha 4,Approved,,,Xq22.2,Z93848,NM_001024452,"GLRA, GLRB",Glycine receptors,868
,4329,GLRB,glycine receptor beta,Approved,,,4q32.1,U33267,NM_000824,"GLRA, GLRB",Glycine receptors,868
nAChR,1955,CHRNA1,cholinergic receptor nicotinic alpha 1 subunit,Approved,CHRNA,,2q31.1,Y00762,,CHRN,Cholinergic receptors nicotinic subunits,173
,13800,CHRNA10,cholinergic receptor nicotinic alpha 10 subunit,Approved,,,11p15.4,AF199235,,CHRN,Cholinergic receptors nicotinic subunits,173
,1956,CHRNA2,cholinergic receptor nicotinic alpha 2 subunit,Approved,,,8p21.2,U62431,,CHRN,Cholinergic receptors nicotinic subunits,173
,1957,CHRNA3,cholinergic receptor nicotinic alpha 3 subunit,Approved,,,15q25.1,,,CHRN,Cholinergic receptors nicotinic subunits,173
,1958,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit,Approved,"EBN, EBN1",BFNC,20q13.33,,,CHRN,Cholinergic receptors nicotinic subunits,173
,1959,CHRNA5,cholinergic receptor nicotinic alpha 5 subunit,Approved,,,15q25.1,,,CHRN,Cholinergic receptors nicotinic subunits,173
,15963,CHRNA6,cholinergic receptor nicotinic alpha 6 subunit,Approved,,,8p11.21,U62435,,CHRN,Cholinergic receptors nicotinic subunits,173
,1960,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit,Approved,,,15q13.3,Z23141,,CHRN,Cholinergic receptors nicotinic subunits,173
,14079,CHRNA9,cholinergic receptor nicotinic alpha 9 subunit,Approved,,NACHRA9,4p14,AF227732,,CHRN,Cholinergic receptors nicotinic subunits,173
,1961,CHRNB1,cholinergic receptor nicotinic beta 1 subunit,Approved,CHRNB,,17p13.1,X14830,,CHRN,Cholinergic receptors nicotinic subunits,173
,1962,CHRNB2,cholinergic receptor nicotinic beta 2 subunit,Approved,,,1q21.3,U62437,NM_000748,CHRN,Cholinergic receptors nicotinic subunits,173
,1963,CHRNB3,cholinergic receptor nicotinic beta 3 subunit,Approved,,,8p11.21,U62438,,CHRN,Cholinergic receptors nicotinic subunits,173
,1964,CHRNB4,cholinergic receptor nicotinic beta 4 subunit,Approved,,,15q25.1,U48861,,CHRN,Cholinergic receptors nicotinic subunits,173
,1965,CHRND,cholinergic receptor nicotinic delta subunit,Approved,ACHRD,,2q37.1,X55019,,CHRN,Cholinergic receptors nicotinic subunits,173
,1966,CHRNE,cholinergic receptor nicotinic epsilon subunit,Approved,,ACHRE,17p13.2,X66403,,CHRN,Cholinergic receptors nicotinic subunits,173
,1967,CHRNG,cholinergic receptor nicotinic gamma subunit,Approved,ACHRG,,2q37.1,X01715,NM_005199,CHRN,Cholinergic receptors nicotinic subunits,173
5-HT (ionotropic),5297,HTR3A,5-hydroxytryptamine receptor 3A,Approved,HTR3,"5-HT3R, 5-HT3A",11q23.2,D49394,NM_000869,,"5-hydroxytryptamine receptors, ionotropic ",172
,5298,HTR3B,5-hydroxytryptamine receptor 3B,Approved,,5-HT3B,11q23.2,AF080582,NM_006028,,"5-hydroxytryptamine receptors, ionotropic ",172
,24003,HTR3C,5-hydroxytryptamine receptor 3C,Approved,,,3q27.1,AF459285,NM_130770,,"5-hydroxytryptamine receptors, ionotropic ",172
,24004,HTR3D,5-hydroxytryptamine receptor 3D,Approved,,,3q27.1,AY159812,NM_182537,,"5-hydroxytryptamine receptors, ionotropic ",172
,24005,HTR3E,5-hydroxytryptamine receptor 3E,Approved,,,3q27.1,AY159813,NM_182589,,"5-hydroxytryptamine receptors, ionotropic ",172
5-HT (GPCR),5286,HTR1A,5-hydroxytryptamine receptor 1A,Approved,"ADRB2RL1, ADRBRL1",5-HT1A,5q12.3,AF498978,NM_000524,,"5-hydroxytryptamine receptors, G protein-coupled",170
,5287,HTR1B,5-hydroxytryptamine receptor 1B,Approved,,"S12, 5-HT1B, HTR1D2, 5-HT1DB",6q14.1,BC069065,NM_000863,,"5-hydroxytryptamine receptors, G protein-coupled",170
,5289,HTR1D,5-hydroxytryptamine receptor 1D,Approved,HTRL,"RDC4, HT1DA, 5-HT1D",1p36.12,M89955,NM_000864,,"5-hydroxytryptamine receptors, G protein-coupled",170
,5291,HTR1E,5-hydroxytryptamine receptor 1E,Approved,,5-HT1E,6q14.3,,NM_000865,,"5-hydroxytryptamine receptors, G protein-coupled",170
,5292,HTR1F,5-hydroxytryptamine receptor 1F,Approved,,"HTR1EL, 5-HT1F",3p12,L05597,NM_000866,,"5-hydroxytryptamine receptors, G protein-coupled",170
,5293,HTR2A,5-hydroxytryptamine receptor 2A,Approved,HTR2,5-HT2A,13q14.2,X57830,NM_000621,,"5-hydroxytryptamine receptors, G protein-coupled",170
,5294,HTR2B,5-hydroxytryptamine receptor 2B,Approved,,"5-HT(2B), 5-HT2B",2q37.1,,NM_000867,,"5-hydroxytryptamine receptors, G protein-coupled",170
,5295,HTR2C,5-hydroxytryptamine receptor 2C,Approved,HTR1C,"5-HT2C, 5HTR2C",Xq23,,NM_000868,,"5-hydroxytryptamine receptors, G protein-coupled",170
,5299,HTR4,5-hydroxytryptamine receptor 4,Approved,,5-HT4,5q32,Y08756,NM_000870,,"5-hydroxytryptamine receptors, G protein-coupled",170
,5300,HTR5A,5-hydroxytryptamine receptor 5A,Approved,,5-HT5A,7q36.2,,NM_024012,,"5-hydroxytryptamine receptors, G protein-coupled",170
,16291,HTR5BP,"5-hydroxytryptamine receptor 5B, pseudogene",Approved,"GPR134, HTR5B",5-HT5B,2q14.1,AB065453,NG_008325,,"5-hydroxytryptamine receptors, G protein-coupled",170
,5301,HTR6,5-hydroxytryptamine receptor 6,Approved,,"5-HT6, 5-HT6R",1p36.13,L41147,NM_000871,,"5-hydroxytryptamine receptors, G protein-coupled",170
,5302,HTR7,5-hydroxytryptamine receptor 7,Approved,,5-HT7,10q23.31,BC047526,NM_000872,,"5-hydroxytryptamine receptors, G protein-coupled",170
NMDA,4584,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,Approved,NMDAR1,GluN1,9q34.3,,NM_007327,GRIN,Glutamate ionotropic receptor NMDA type subunits,1201
,4585,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,Approved,NMDAR2A,GluN2A,16p13.2,,,GRIN,Glutamate ionotropic receptor NMDA type subunits,1201
,4586,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,Approved,NMDAR2B,GluN2B,12p13.1,,,GRIN,Glutamate ionotropic receptor NMDA type subunits,1201
,4587,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,Approved,NMDAR2C,GluN2C,17q25.1,,,GRIN,Glutamate ionotropic receptor NMDA type subunits,1201
,4588,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,Approved,NMDAR2D,"GluN2D, EB11, NR2D",19q13.33,U77783,,GRIN,Glutamate ionotropic receptor NMDA type subunits,1201
,16767,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,Approved,,GluN3A,9q31.1,,,GRIN,Glutamate ionotropic receptor NMDA type subunits,1201
,16768,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,Approved,,GluN3B,19p13.3,,,GRIN,Glutamate ionotropic receptor NMDA type subunits,1201
K2P,6272,KCNK1,potassium two pore domain channel subfamily K member 1,Approved,,"K2p1.1, DPK, TWIK-1",1q42.2,U33632,NM_002245,KCNK,Potassium two pore domain channel subfamily K ,277
,6273,KCNK10,potassium two pore domain channel subfamily K member 10,Approved,,"K2p10.1, TREK-2, TREK2, PPP1R97",14q31.3,AF279890,NM_021161,KCNK,Potassium two pore domain channel subfamily K ,277
,6274,KCNK12,potassium two pore domain channel subfamily K member 12,Approved,,"THIK-2, THIK2, K2p12.1",2p16.3,AF287302,NM_022055,KCNK,Potassium two pore domain channel subfamily K ,277
,6275,KCNK13,potassium two pore domain channel subfamily K member 13,Approved,,"K2p13.1, THIK-1, THIK1",14q32.11,AF287303,NM_022054,KCNK,Potassium two pore domain channel subfamily K ,277
,13814,KCNK15,potassium two pore domain channel subfamily K member 15,Approved,"KCNK11, KCNK14","K2p15.1, dJ781B1.1, KT3.3, KIAA0237, TASK5, TASK-5",20q13.12,AF257081,NM_022358,KCNK,Potassium two pore domain channel subfamily K ,277
,14464,KCNK16,potassium two pore domain channel subfamily K member 16,Approved,,"K2p16.1, TALK-1, TALK1",6p21.2,AF358909,NM_032115,KCNK,Potassium two pore domain channel subfamily K ,277
,14465,KCNK17,potassium two pore domain channel subfamily K member 17,Approved,,"K2p17.1, TALK-2, TALK2, TASK4, TASK-4",6p21.2,AF358910,NM_031460,KCNK,Potassium two pore domain channel subfamily K ,277
,19439,KCNK18,potassium two pore domain channel subfamily K member 18,Approved,,"K2p18.1, TRESK-2, TRESK2, TRESK, TRIK",10q25.3,AB087138,NM_181840,KCNK,Potassium two pore domain channel subfamily K ,277
,6277,KCNK2,potassium two pore domain channel subfamily K member 2,Approved,,"K2p2.1, TREK-1",1q41,AF004711,NM_014217,KCNK,Potassium two pore domain channel subfamily K ,277
,6278,KCNK3,potassium two pore domain channel subfamily K member 3,Approved,,"K2p3.1, TASK, TASK-1",2p23.3,AF006823,NM_002246,KCNK,Potassium two pore domain channel subfamily K ,277
,6279,KCNK4,potassium two pore domain channel subfamily K member 4,Approved,,"K2p4.1, TRAAK",11q13.1,AF247042,NM_033311,KCNK,Potassium two pore domain channel subfamily K ,277
,6280,KCNK5,potassium two pore domain channel subfamily K member 5,Approved,,"K2p5.1, TASK-2",6p21.2,AF084830,NM_003740,KCNK,Potassium two pore domain channel subfamily K ,277
,6281,KCNK6,potassium two pore domain channel subfamily K member 6,Approved,,"K2p6.1, TWIK-2",19q13.2,AF117708,NM_004823,KCNK,Potassium two pore domain channel subfamily K ,277
,6282,KCNK7,potassium two pore domain channel subfamily K member 7,Approved,,K2p7.1,11q13.1,AF110522,NM_005714,KCNK,Potassium two pore domain channel subfamily K ,277
,6283,KCNK9,potassium two pore domain channel subfamily K member 9,Approved,,"K2p9.1, TASK3, TASK-3",8q24.3,AF212829,NM_016601,KCNK,Potassium two pore domain channel subfamily K ,277
Kca,6284,KCNMA1,potassium calcium-activated channel subfamily M alpha 1,Approved,SLO,"KCa1.1, mSLO1",10q22.3,U11717,NM_002247,,Potassium calcium-activated channels,255
,6290,KCNN1,potassium calcium-activated channel subfamily N member 1,Approved,,"KCa2.1, hSK1",19p13.11,U69883,NM_002248,,Potassium calcium-activated channels,255
,6291,KCNN2,potassium calcium-activated channel subfamily N member 2,Approved,,"KCa2.2, hSK2",5q22.3,AF239613,NM_021614,,Potassium calcium-activated channels,255
,6292,KCNN3,potassium calcium-activated channel subfamily N member 3,Approved,,"KCa2.3, hSK3, SKCA3",1q21.3,AF031815,NM_002249,,Potassium calcium-activated channels,255
,6293,KCNN4,potassium calcium-activated channel subfamily N member 4,Approved,,"KCa3.1, hSK4, hKCa4, hIKCa1, IK",19q13.31,AF022797,NM_002250,,Potassium calcium-activated channels,255
,18867,KCNU1,potassium calcium-activated channel subfamily U member 1,Approved,,"KCa5.1, Slo3, KCNMC1, Kcnma3",8p11.23,BC028701,NM_001031836,,Potassium calcium-activated channels,255
,18865,KCNT1,potassium sodium-activated channel subfamily T member 1,Approved,,"KCa4.1, KIAA1422, SLACK, Slo2.2",9q34.3,AB037843,NM_020822,KCNT,Potassium sodium-activated channel subfamily T ,856
,18866,KCNT2,potassium sodium-activated channel subfamily T member 2,Approved,,"KCa4.2, SLICK, SLO2.1",1q31.3,"BX647852, AY359444, AK127807",NM_198503,KCNT,Potassium sodium-activated channel subfamily T ,856
Kv,6218,KCNA1,potassium voltage-gated channel subfamily A member 1,Approved,AEMK,"Kv1.1, RBK1, HUK1, MBK1",12p13.32,L02750,NM_000217,,Potassium voltage-gated channels,274
,6219,KCNA10,potassium voltage-gated channel subfamily A member 10,Approved,,Kv1.8,1p13.3,U96110,NM_005549,,Potassium voltage-gated channels,274
,6220,KCNA2,potassium voltage-gated channel subfamily A member 2,Approved,,"Kv1.2, HK4",1p13.3,L02752,NM_004974,,Potassium voltage-gated channels,274
,6221,KCNA3,potassium voltage-gated channel subfamily A member 3,Approved,,"Kv1.3, MK3, HLK3, HPCN3",1p13.3,L23499,NM_002232,,Potassium voltage-gated channels,274
,6222,KCNA4,potassium voltage-gated channel subfamily A member 4,Approved,KCNA4L,"Kv1.4, HK1, HPCN2",11p14.1,M55514,NM_002233,,Potassium voltage-gated channels,274
,6224,KCNA5,potassium voltage-gated channel subfamily A member 5,Approved,,"Kv1.5, HK2, HPCN1",12p13.32,M83254,NM_002234,,Potassium voltage-gated channels,274
,6225,KCNA6,potassium voltage-gated channel subfamily A member 6,Approved,,"Kv1.6, HBK2, PPP1R96",12p13.32,X17622,NM_002235,,Potassium voltage-gated channels,274
,6226,KCNA7,potassium voltage-gated channel subfamily A member 7,Approved,,"Kv1.7, HAK6",19q13.33,AF315818,NM_031886,,Potassium voltage-gated channels,274
,6231,KCNB1,potassium voltage-gated channel subfamily B member 1,Approved,,Kv2.1,20q13.13,AF026005,NM_004975,,Potassium voltage-gated channels,274
,6232,KCNB2,potassium voltage-gated channel subfamily B member 2,Approved,,Kv2.2,8q21.11,U69962,NM_004770,,Potassium voltage-gated channels,274
,6233,KCNC1,potassium voltage-gated channel subfamily C member 1,Approved,,Kv3.1,11p15.1,M96747,NM_004976,,Potassium voltage-gated channels,274
,6234,KCNC2,potassium voltage-gated channel subfamily C member 2,Approved,,Kv3.2,12q21.1,AF268896,NM_153748,,Potassium voltage-gated channels,274
,6235,KCNC3,potassium voltage-gated channel subfamily C member 3,Approved,SCA13,Kv3.3,19q13.33,AB208930,NM_004977,,Potassium voltage-gated channels,274
,6236,KCNC4,potassium voltage-gated channel subfamily C member 4,Approved,C1orf30,"Kv3.4, HKSHIIIC",1p13.3,BC101769,NM_001039574,,Potassium voltage-gated channels,274
,6237,KCND1,potassium voltage-gated channel subfamily D member 1,Approved,,Kv4.1,Xp11.23,AF166003,NM_004979,,Potassium voltage-gated channels,274
,6238,KCND2,potassium voltage-gated channel subfamily D member 2,Approved,,"Kv4.2, RK5, KIAA1044",7q31.31,AJ010969,NM_012281,,Potassium voltage-gated channels,274
,6239,KCND3,potassium voltage-gated channel subfamily D member 3,Approved,"SCA22, SCA19","Kv4.3, KSHIVB",1p13.2,AF048713,NM_172198,,Potassium voltage-gated channels,274
,6246,KCNF1,potassium voltage-gated channel modifier subfamily F member 1,Approved,KCNF,"Kv5.1, kH1, IK8",2p25.1,AF033382,NM_002236,,Potassium voltage-gated channels,274
,6248,KCNG1,potassium voltage-gated channel modifier subfamily G member 1,Approved,KCNG,"Kv6.1, kH2, K13",20q13.13,AF033383,NM_002237,,Potassium voltage-gated channels,274
,6249,KCNG2,potassium voltage-gated channel modifier subfamily G member 2,Approved,,"Kv6.2, KCNF2",18q23,AJ011021,NM_012283,,Potassium voltage-gated channels,274
,18306,KCNG3,potassium voltage-gated channel modifier subfamily G member 3,Approved,,Kv6.3,2p21,AB070604,NM_172344,,Potassium voltage-gated channels,274
,19697,KCNG4,potassium voltage-gated channel modifier subfamily G member 4,Approved,,Kv6.4,16q24.1,AF348984,NM_172347,,Potassium voltage-gated channels,274
,6250,KCNH1,potassium voltage-gated channel subfamily H member 1,Approved,,"Kv10.1, eag, h-eag, eag1",1q32.2,AJ001366,NM_002238,,Potassium voltage-gated channels,274
,6251,KCNH2,potassium voltage-gated channel subfamily H member 2,Approved,LQT2,"Kv11.1, HERG, erg1",7q36.1,U04270,NM_000238,,Potassium voltage-gated channels,274
,6252,KCNH3,potassium voltage-gated channel subfamily H member 3,Approved,,"Kv12.2, BEC1, elk2",12q13.12,AB022696,NM_012284,,Potassium voltage-gated channels,274
,6253,KCNH4,potassium voltage-gated channel subfamily H member 4,Approved,,"Kv12.3, elk1",17q21.2,AB022698,NM_012285,,Potassium voltage-gated channels,274
,6254,KCNH5,potassium voltage-gated channel subfamily H member 5,Approved,,"Kv10.2, H-EAG2, eag2",14q23.2,U69185,NM_139318,,Potassium voltage-gated channels,274
,18862,KCNH6,potassium voltage-gated channel subfamily H member 6,Approved,,"Kv11.2, erg2, HERG2",17q23.3,AF311913,NM_030779,,Potassium voltage-gated channels,274
,18863,KCNH7,potassium voltage-gated channel subfamily H member 7,Approved,,"Kv11.3, HERG3, erg3",2q24.2,AF032897,NM_033272,,Potassium voltage-gated channels,274
,18864,KCNH8,potassium voltage-gated channel subfamily H member 8,Approved,,"Kv12.1, elk3",3p24.3,AY053503,NM_144633,,Potassium voltage-gated channels,274
,6294,KCNQ1,potassium voltage-gated channel subfamily Q member 1,Approved,"LQT, KCNA9","Kv7.1, KCNA8, KVLQT1, JLNS1, LQT1",11p15.5-p15.4,AF000571,NM_000218,,Potassium voltage-gated channels,274
,6296,KCNQ2,potassium voltage-gated channel subfamily Q member 2,Approved,"EBN, EBN1","Kv7.2, ENB1, BFNC, KCNA11, HNSPC",20q13.33,AF033348,NM_172109,,Potassium voltage-gated channels,274
,6297,KCNQ3,potassium voltage-gated channel subfamily Q member 3,Approved,EBN2,Kv7.3,8q24.22,AB208890,NM_004519,,Potassium voltage-gated channels,274
,6298,KCNQ4,potassium voltage-gated channel subfamily Q member 4,Approved,DFNA2,Kv7.4,1p34.2,AF105202,NM_004700,,Potassium voltage-gated channels,274
,6299,KCNQ5,potassium voltage-gated channel subfamily Q member 5,Approved,,Kv7.5,6q13,AF202977,NM_019842,,Potassium voltage-gated channels,274
,6300,KCNS1,potassium voltage-gated channel modifier subfamily S member 1,Approved,,Kv9.1,20q13.12,AF043473,NM_002251,,Potassium voltage-gated channels,274
,6301,KCNS2,potassium voltage-gated channel modifier subfamily S member 2,Approved,,Kv9.2,8q22.2,AB032970,NM_020697,,Potassium voltage-gated channels,274
,6302,KCNS3,potassium voltage-gated channel modifier subfamily S member 3,Approved,,Kv9.3,2p24.2,AF043472,NM_002252,,Potassium voltage-gated channels,274
,18861,KCNV1,potassium voltage-gated channel modifier subfamily V member 1,Approved,,Kv8.1,8q23.2,AF167082,NM_014379,,Potassium voltage-gated channels,274
,19698,KCNV2,potassium voltage-gated channel modifier subfamily V member 2,Approved,,Kv8.2,9p24.2,AF348983,NM_133497,,Potassium voltage-gated channels,274
Nav,10582,SCN10A,sodium voltage-gated channel alpha subunit 10,Approved,,"Nav1.8, hPN3, SNS, PN3",3p22.2,AF117907,NM_006514,,Sodium voltage-gated channel alpha subunits,1203
,10583,SCN11A,sodium voltage-gated channel alpha subunit 11,Approved,SCN12A,"Nav1.9, NaN, SNS-2",3p22.2,AF126739,NM_014139,,Sodium voltage-gated channel alpha subunits,1203
,10585,SCN1A,sodium voltage-gated channel alpha subunit 1,Approved,"SCN1, FEB3","Nav1.1, GEFSP2, HBSCI, NAC1, SMEI",2q24.3,AB093548,NM_006920,,Sodium voltage-gated channel alpha subunits,1203
,10588,SCN2A,sodium voltage-gated channel alpha subunit 2,Approved,"SCN2A1, SCN2A2","Nav1.2, HBSCII, HBSCI",2q24.3,AB208888,NM_021007,,Sodium voltage-gated channel alpha subunits,1203
,10590,SCN3A,sodium voltage-gated channel alpha subunit 3,Approved,,Nav1.3,2q24.3,AF035685,NM_006922,,Sodium voltage-gated channel alpha subunits,1203
,10591,SCN4A,sodium voltage-gated channel alpha subunit 4,Approved,HYKPP,"Nav1.4, HYPP, SkM1",17q23.3,U24693,NM_000334,,Sodium voltage-gated channel alpha subunits,1203
,10593,SCN5A,sodium voltage-gated channel alpha subunit 5,Approved,CMD1E,"Nav1.5, LQT3, HB1, HBBD, PFHB1, IVF, HB2, HH1, SSS1, CDCD2, CMPD2, ICCD",3p22.2,AJ310893,NM_198056,,Sodium voltage-gated channel alpha subunits,1203
,10596,SCN8A,sodium voltage-gated channel alpha subunit 8,Approved,MED,"Nav1.6, NaCh6, PN4, CerIII, CIAT",12q13.13,AB027567,NM_014191,,Sodium voltage-gated channel alpha subunits,1203
,10597,SCN9A,sodium voltage-gated channel alpha subunit 9,Approved,,"Nav1.7, PN1, NE-NA, NENA, ETHA",2q24.3,X82835,NM_002977,,Sodium voltage-gated channel alpha subunits,1203
,10586,SCN1B,sodium voltage-gated channel beta subunit 1,Approved,,,19q13.11,,,,Sodium voltage-gated channel beta subunits,1204
,10589,SCN2B,sodium voltage-gated channel beta subunit 2,Approved,,,11q23.3,AY358945,NM_004588,,Sodium voltage-gated channel beta subunits,1204
,20665,SCN3B,sodium voltage-gated channel beta subunit 3,Approved,,HSA243396,11q24.1,AJ243396,NM_018400,,Sodium voltage-gated channel beta subunits,1204
,10592,SCN4B,sodium voltage-gated channel beta subunit 4,Approved,,LQT10,11q23.3,AY149967,,,Sodium voltage-gated channel beta subunits,1204
purinergic,8533,P2RX1,purinergic receptor P2X 1,Approved,,P2X1,17p13.3,X83688,NM_002558,P2RX,Purinergic receptors P2X,214
,15459,P2RX2,purinergic receptor P2X 2,Approved,DFNA41,P2X2,12q24.33,AF109387,,P2RX,Purinergic receptors P2X,214
,8534,P2RX3,purinergic receptor P2X 3,Approved,,P2X3,11q12.1,Y07683,NM_002559,P2RX,Purinergic receptors P2X,214
,8535,P2RX4,purinergic receptor P2X 4,Approved,,P2X4,12q24.31,Y07684,NM_175567,P2RX,Purinergic receptors P2X,214
,8536,P2RX5,purinergic receptor P2X 5,Approved,,"P2X5, LRH-1",17p13.2,AF016709,"NM_002561, NM_175080, NM_175081",P2RX,Purinergic receptors P2X,214
,8538,P2RX6,purinergic receptor P2X 6,Approved,P2RXL1,"P2XM, MGC129625, P2X6",22q11.21,,NM_005446,P2RX,Purinergic receptors P2X,214
,8537,P2RX7,purinergic receptor P2X 7,Approved,,"P2X7, MGC20089",12q24.31,Y09561,NM_002562,P2RX,Purinergic receptors P2X,214
ryanodine,10483,RYR1,ryanodine receptor 1,Approved,"MHS, MHS1, CCO","RYR, PPP1R137",19q13.2,J05200,,RYR,Ryanodine receptors,287
,10484,RYR2,ryanodine receptor 2,Approved,ARVD2,"ARVC2, VTSIP",1q43,X91869,NM_001035,RYR,Ryanodine receptors,287
,10485,RYR3,ryanodine receptor 3,Approved,,,15q13.3-q14,,,RYR,Ryanodine receptors,287
opioid,8153,OPRD1,opioid receptor delta 1,Approved,,,1p35.3,U10504,NM_000911,OPR,Opioid receptors,245
,8154,OPRK1,opioid receptor kappa 1,Approved,,"KOR, OPRK",8q11.23,,,OPR,Opioid receptors,245
,8155,OPRL1,opioid related nociceptin receptor 1,Approved,,"NOCIR, ORL1, OOR, KOR-3, NOPr",20q13.33,,NM_182647,OPR,Opioid receptors,245
,8156,OPRM1,opioid receptor mu 1,Approved,,MOR1,6q25.2,L29301,NM_000914,OPR,Opioid receptors,245
cannabinoid,2159,CNR1,cannabinoid receptor 1,Approved,CNR,"CB1K5, CB-R, CB1, CANN6, CB1A",6q15,AF107262,,CNR,Cannabinoid receptors,202
,2160,CNR2,cannabinoid receptor 2,Approved,,CB2,1p36.11,X74328,NM_001841,CNR,Cannabinoid receptors,202
,24546,CNRIP1,cannabinoid receptor interacting protein 1,,,,,,,,,
opioid-related,9163,PNOC,prepronociceptin,Approved,,"PPNOC, N/OFQ, NOP",8p21.1,,NM_006228,,Endogenous ligands,542
,9201,POMC,proopiomelanocortin,Approved,,"MSH, POC, CLIP, ACTH, NPP, LPH",2p23.3,,NM_001035256,,Endogenous ligands,542
alpha-1 adrenergic,277,ADRA1A,adrenoceptor alpha 1A,Approved,ADRA1C,ADRA1L1,8p21.2,L31774,NM_033303,ADR,Adrenoceptors,169
,278,ADRA1B,adrenoceptor alpha 1B,Approved,,,5q33.3,L31773,,ADR,Adrenoceptors,169
,280,ADRA1D,adrenoceptor alpha 1D,Approved,,"ADRA1R, ADRA1A, ADRA1",20p13,U03864,NM_000678,ADR,Adrenoceptors,169
alpha-2 adrenergic,281,ADRA2A,adrenoceptor alpha 2A,Approved,"ADRA2, ADRA2R",ADRAR,10q25.2,AF284095,NM_000681,ADR,Adrenoceptors,169
